time_s,torso_roll_rad,torso_pitch_rad,torso_angular_velocity_world_x_radps,torso_angular_velocity_world_y_radps,torso_height_world_m,left_pos_error_m,right_pos_error_m,gait_frequency_hz,gait_phase,gait_sin,gait_cos,gait_sin_right,gait_cos_right,base_command_x_mps,base_command_y_mps,base_command_yaw_radps
15.06,0.07476962079641168,-0.010481885800172435,0.33329614996910095,-0.017155926674604416,0.8214936256408691,0.05673796683549881,0.06448610126972198,1.0,0.059999466595042024,0.3681214451789856,0.9297777414321899,-0.3681214451789856,-0.9297777414321899,0.30000001192092896,0.0,0.0
15.08,0.08189199546047642,-0.01000456410904617,0.36178603768348694,0.03051690012216568,0.8217411041259766,0.05718357115983963,0.06359674781560898,1.0,0.07999993017941165,0.48175328969955444,0.8763068914413452,-0.48175328969955444,-0.8763068914413452,0.30000001192092896,0.0,0.0
15.1,0.08970943852429501,-0.008327180418838169,0.40331128239631653,0.09306471049785614,0.8220882415771484,0.05757509917020798,0.06243625283241272,1.0,0.09999943462204056,0.5877823829650879,0.8090190887451172,-0.5877824425697327,-0.8090190887451172,0.30000001192092896,0.0,0.0
15.120000000000001,0.09809242049034875,-0.005282525663794282,0.42838576436042786,0.1586611568927765,0.8222074508666992,0.0577591210603714,0.0608883760869503,1.0,0.11999988245626218,0.6845465898513794,0.728969156742096,-0.684546709060669,-0.7289690375328064,0.30000001192092896,0.0,0.0
15.14,0.10664199982734375,-0.0010019998609986833,0.43350961804389954,0.21758580207824707,0.8216753602027893,0.05747925862669945,0.05888422951102257,1.0,0.13999939903716044,0.7705108523368835,0.6374269127845764,-0.7705109715461731,-0.6374267935752869,0.30000001192092896,0.0,0.0
15.16,0.1145053657752094,0.003988967204876374,0.3749656081199646,0.23244234919548035,0.820060670375824,0.05656227841973305,0.05644488334655762,1.0,0.15999985432975508,0.844327449798584,0.5358275771141052,-0.8443275690078735,-0.5358273983001709,0.30000001192092896,0.0,0.0
15.18,0.12245540097180031,0.010120929684520422,0.4788881242275238,0.37893030047416687,0.8177720308303833,0.05530981346964836,0.05393635481595993,1.0,0.1799993523104283,0.9048253297805786,0.4257829785346985,-0.9048253893852234,-0.4257829189300537,0.30000001192092896,0.0,0.0
15.200000000000001,0.1313023888235299,0.017033487826281637,0.4228920340538025,0.2611718773841858,0.8164517879486084,0.05445624142885208,0.0523502454161644,1.0,0.19999981542696668,0.951056182384491,0.3090181052684784,-0.951056182384491,-0.30901801586151123,0.30000001192092896,0.0,0.0
15.22,0.13925442139093838,0.021636481930509682,0.39531171321868896,0.20660296082496643,0.8161464929580688,0.054006557911634445,0.05141616612672806,1.0,0.219999312649954,0.9822864532470703,0.18738555908203125,-0.9822864532470703,-0.18738558888435364,0.30000001192092896,0.0,0.0
15.24,0.14649363392545195,0.024764878537674347,0.3442763686180115,0.10520803928375244,0.8165020942687988,0.05359656363725662,0.05023512244224548,1.0,0.23999977558055585,0.9980266690254211,0.06279192864894867,-0.9980266094207764,-0.06279195845127106,0.30000001192092896,0.0,0.0
15.26,0.15259100782021562,0.02609781771098883,0.2933698296546936,0.02836773358285427,0.8171054720878601,0.05318914353847504,0.048603251576423645,1.0,0.2599992894650107,0.9980270266532898,-0.06278606504201889,-0.998026967048645,0.0627862736582756,0.30000001192092896,0.0,0.0
15.280000000000001,0.15758623249784998,0.026126045137949066,0.22669407725334167,-0.02276887185871601,0.8178051710128784,0.05295135825872421,0.04684195667505264,1.0,0.2799997333897667,0.982287585735321,-0.18737967312335968,-0.9822875261306763,0.18738000094890594,0.30000001192092896,0.0,0.0
15.3,0.16109503045781345,0.025324362909618762,0.15082508325576782,-0.04829511418938637,0.8184466361999512,0.053105756640434265,0.04559917375445366,1.0,0.29999924855421195,0.9510579705238342,-0.3090125024318695,-0.9510579705238342,0.30901259183883667,0.30000001192092896,0.0,0.0
15.32,0.16328807703646644,0.023968422762983322,0.09534864127635956,-0.07396485656499863,0.8188547492027283,0.05361806973814964,0.04512099549174309,1.0,0.3199997098215878,0.9048278331756592,-0.4257776439189911,-0.9048277735710144,0.42577773332595825,0.30000001192092896,0.0,0.0
15.34,0.1646435428075327,0.022071078611491587,0.05206628888845444,-0.1052829921245575,0.8191103339195251,0.054213996976614,0.04523880034685135,1.0,0.33999919036850623,0.8443306684494019,-0.5358225107192993,-0.8443306088447571,0.5358225703239441,0.30000001192092896,0.0,0.0
15.36,0.1652174706672016,0.019750639305975728,0.003955213353037834,-0.12024857848882675,0.8193351626396179,0.05475799739360809,0.04555705934762955,1.0,0.3599996511429556,0.7705146670341492,-0.6374223232269287,-0.7705146074295044,0.6374223828315735,0.30000001192092896,0.0,0.0
15.38,0.1648554971407894,0.01725821076860849,-0.041850000619888306,-0.12419766932725906,0.819447934627533,0.05515194311738014,0.045891255140304565,1.0,0.38000011754373786,0.6845465898513794,-0.728969156742096,-0.6845465302467346,0.7289692163467407,0.30000001192092896,0.0,0.0
15.4,0.16373086085720576,0.014576460606061036,-0.07244749367237091,-0.13332179188728333,0.819373607635498,0.05535884201526642,0.04620375856757164,1.0,0.39999962800181904,0.5877871513366699,-0.8090156316757202,-0.5877872705459595,0.8090155720710754,0.30000001192092896,0.0,0.0
15.42,0.16329679888903645,0.01254319224954248,-0.02143731154501438,-0.08666522055864334,0.8194960355758667,0.055544376373291016,0.04653935506939888,1.0,0.42000009101662983,0.4817531704902649,-0.87630695104599,-0.48175328969955444,0.8763068914413452,0.30000001192092896,0.0,0.0
15.44,0.16241923737558492,0.010960889652034112,-0.06871995329856873,-0.06875352561473846,0.8197363018989563,0.055647559463977814,0.04705078899860382,1.0,0.43999960945819516,0.36812683939933777,-0.929775595664978,-0.3681267499923706,0.929775595664978,0.30000001192092896,0.0,0.0
15.46,0.16070218090751312,0.00995394532298325,-0.10509906709194183,-0.032753489911556244,0.8199584484100342,0.055661190301179886,0.047700583934783936,1.0,0.46000003660913275,0.248689666390419,-0.9685832262039185,-0.24868935346603394,0.9685832858085632,0.30000001192092896,0.0,0.0
15.48,0.15836633896016145,0.00971697704112854,-0.13485874235630035,0.004384828731417656,0.8201183676719666,0.05557973310351372,0.04835040867328644,1.0,0.47999955077534584,0.12533603608608246,-0.9921143651008606,-0.1253359466791153,0.9921143651008606,0.30000001192092896,0.0,0.0
15.5,0.15548897649465576,0.010165972477050988,-0.1638633906841278,0.03572504222393036,0.8202138543128967,0.05545226112008095,0.049001723527908325,1.0,0.500000013913767,-8.742277657347586e-08,-1.0,1.7484555314695172e-07,1.0,0.30000001192092896,0.0,0.0
15.52,0.1520836589877987,0.011202046170821893,-0.19043444097042084,0.0629965290427208,0.820248007774353,0.05526982247829437,0.04967380687594414,1.0,0.5199995290934666,-0.12533029913902283,-0.9921150803565979,0.1253301501274109,0.9921150803565979,0.30000001192092896,0.0,0.0
15.540000000000001,0.14825987564990611,0.012791242818542744,-0.20997464656829834,0.0882999375462532,0.8202261328697205,0.05503694713115692,0.05039581283926964,1.0,0.5399999933150581,-0.24868984520435333,-0.9685831665992737,0.2486896961927414,0.9685832262039185,0.30000001192092896,0.0,0.0
15.56,0.14412490193863778,0.014882448452635432,-0.22612817585468292,0.11096573621034622,0.8201576471328735,0.054762452840805054,0.051185574382543564,1.0,0.5599994665950421,-0.3681214451789856,-0.9297777414321899,0.3681217432022095,0.9297776222229004,0.30000001192092896,0.0,0.0
15.58,0.1397200168508899,0.017416246492764072,-0.2408028542995453,0.12909866869449615,0.8200627565383911,0.054451581090688705,0.05204090103507042,1.0,0.5799999301794116,-0.48175328969955444,-0.8763068914413452,0.4817535877227783,0.8763067722320557,0.30000001192092896,0.0,0.0
15.6,0.1350767289113095,0.020259854431750293,-0.25366127490997314,0.13908065855503082,0.8199635744094849,0.054125986993312836,0.052881836891174316,1.0,0.5999994422966977,-0.5877824425697327,-0.8090190887451172,0.5877825021743774,0.8090190291404724,0.30000001192092896,0.0,0.0
15.620000000000001,0.13018378626429097,0.023250952601153764,-0.26877808570861816,0.14165107905864716,0.8198736310005188,0.05379456281661987,0.053646426647901535,1.0,0.6199999092745383,-0.684546709060669,-0.7289690375328064,0.6845467686653137,0.7289689779281616,0.30000001192092896,0.0,0.0
15.64,0.12493890687921849,0.026268852990215363,-0.2907266318798065,0.13875870406627655,0.819785475730896,0.053406331688165665,0.05429255962371826,1.0,0.6399994257496069,-0.7705109715461731,-0.6374267935752869,0.7705108523368835,0.6374269127845764,0.30000001192092896,0.0,0.0
15.66,0.11921228662008589,0.02919333052047482,-0.320443719625473,0.12826216220855713,0.8196746110916138,0.05292890593409538,0.054790522903203964,1.0,0.6599998885246926,-0.8443275690078735,-0.5358273983001709,0.8443275094032288,0.5358275175094604,0.30000001192092896,0.0,0.0
15.68,0.11292528733333017,0.03174583934785587,-0.34783101081848145,0.10449697077274323,0.8194850087165833,0.05238449573516846,0.055087339133024216,1.0,0.6799993649330756,-0.9048253893852234,-0.4257829189300537,0.9048255085945129,0.42578262090682983,0.30000001192092896,0.0,0.0
15.700000000000001,0.10628742489533492,0.03321515733611762,-0.35162776708602905,0.037497423589229584,0.8190779685974121,0.0518525168299675,0.055112551897764206,1.0,0.6999998289600781,-0.951056182384491,-0.30901801586151123,0.9510561227798462,0.30901816487312317,0.30000001192092896,0.0,0.0
15.72,0.09762809003191503,0.03461036454466952,-0.48614320158958435,0.052789509296417236,0.819004237651825,0.051617275923490524,0.05527922883629799,1.0,0.7199993079907858,-0.9822864532470703,-0.18738558888435364,0.9822865128517151,0.18738527595996857,0.30000001192092896,0.0,0.0
15.74,0.08877411970470236,0.034212954331002444,-0.43986955285072327,-0.04848860576748848,0.8190786838531494,0.051786910742521286,0.055527959018945694,1.0,0.739999770251061,-0.9980266094207764,-0.06279195845127106,0.9980266690254211,0.06279163807630539,0.30000001192092896,0.0,0.0
15.76,0.08025653991268035,0.03240399175759311,-0.4079228639602661,-0.0968090072274208,0.8191736936569214,0.0522843673825264,0.05568951740860939,1.0,0.7599993231974242,-0.998026967048645,0.0627862736582756,0.9980270266532898,-0.06278611719608307,0.30000001192092896,0.0,0.0
15.780000000000001,0.07116309314682072,0.030142782819196298,-0.4277344346046448,-0.1221131756901741,0.8197307586669922,0.05300022289156914,0.056451037526130676,1.0,0.7799997864182278,-0.9822875261306763,0.18738000094890594,0.9822875261306763,-0.187379851937294,0.30000001192092896,0.0,0.0
15.8,0.06311048463636973,0.026732800619242384,-0.35361379384994507,-0.1833883672952652,0.820475697517395,0.053657956421375275,0.05775259807705879,1.0,0.7999992620873488,-0.9510579705238342,0.30901259183883667,0.9510578513145447,-0.30901288986206055,0.30000001192092896,0.0,0.0
15.82,0.05598799762019651,0.02212682398265291,-0.3095040023326874,-0.2569561004638672,0.8207985758781433,0.053778499364852905,0.059121713042259216,1.0,0.8199997267359764,-0.9048277735710144,0.42577773332595825,0.9048276543617249,-0.42577803134918213,0.30000001192092896,0.0,0.0
15.84,0.05029773783232189,0.016859794587451526,-0.20283445715904236,-0.25076374411582947,0.8206155300140381,0.05332329496741295,0.060366179794073105,1.0,0.839999203461155,-0.8443306088447571,0.5358225703239441,0.8443306684494019,-0.5358224511146545,0.30000001192092896,0.0,0.0
15.860000000000001,0.04746186242317261,0.012255498031002865,-0.08287729322910309,-0.21399752795696259,0.8205483555793762,0.05272611603140831,0.06159655749797821,1.0,0.8599996644991714,-0.7705146074295044,0.6374223828315735,0.7705146670341492,-0.6374223232269287,0.30000001192092896,0.0,0.0
15.88,0.04706181401555067,0.00833350906746766,0.014729911461472511,-0.1855797916650772,0.8208242654800415,0.05231689661741257,0.06265464425086975,1.0,0.8800001309528757,-0.6845465302467346,0.7289692163467407,0.6845466494560242,-0.7289690971374512,0.30000001192092896,0.0,0.0
15.9,0.048369496850996035,0.004853580918047688,0.08504942804574966,-0.17027223110198975,0.8213399648666382,0.05226413160562515,0.06351546943187714,1.0,0.8999996070766019,-0.5877872705459595,0.8090155720710754,0.5877870321273804,-0.8090157508850098,0.30000001192092896,0.0,0.0
15.92,0.050761202763401334,0.001541174313683595,0.1267073154449463,-0.16728909313678741,0.8218076825141907,0.05267289653420448,0.06437145173549652,1.0,0.9200000698205884,-0.48175328969955444,0.8763068914413452,0.48175302147865295,-0.8763070702552795,0.30000001192092896,0.0,0.0
15.94,0.053169545110241224,-0.0015226064372728858,0.10798029601573944,-0.1470160335302353,0.8220231533050537,0.05355300381779671,0.06537365913391113,1.0,0.9399996226884935,-0.3681267499923706,0.929775595664978,0.36812645196914673,-0.9297757744789124,0.30000001192092896,0.0,0.0
15.96,0.05525520387912598,-0.00402280781599747,0.10268644988536835,-0.11393029242753983,0.8220385313034058,0.05473719909787178,0.06648296117782593,1.0,0.9600000872070946,-0.24868935346603394,0.9685832858085632,0.24868904054164886,-0.9685834050178528,0.30000001192092896,0.0,0.0
15.98,0.05779014624628552,-0.005906197939644759,0.1441361904144287,-0.08754591643810272,0.8219566345214844,0.05597115680575371,0.06741320341825485,1.0,0.9799995648926971,-0.1253359466791153,0.9921143651008606,0.12533609569072723,-0.9921143651008606,0.30000001192092896,0.0,0.0
