time_s,left_target_force_x_n,left_target_force_y_n,left_target_force_z_n,left_actual_force_x_n,left_actual_force_y_n,left_actual_force_z_n,right_target_force_x_n,right_target_force_y_n,right_target_force_z_n,right_actual_force_x_n,right_actual_force_y_n,right_actual_force_z_n
10.52,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2700868844985962,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.03182940185070038
10.540000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2657223641872406,0.0,0.0,-0.24525000154972076,0.0,0.0,0.08065786212682724
10.56,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.24471907317638397,0.0,0.0,-0.24525000154972076,0.0,0.0,0.20941975712776184
10.58,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22297796607017517,0.0,0.0,-0.24525000154972076,0.0,0.0,0.33938902616500854
10.6,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21121928095817566,0.0,0.0,-0.24525000154972076,0.0,0.0,0.45844146609306335
10.620000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21019157767295837,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5339726209640503
10.64,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2096574604511261,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5627658367156982
10.66,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21365439891815186,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5629011392593384
10.68,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2225557267665863,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5525729656219482
10.700000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21549458801746368,0.0,0.0,-0.24525000154972076,0.0,0.0,0.45749181509017944
10.72,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1295517235994339,0.0,0.0,-0.24525000154972076,0.0,0.0,0.42927175760269165
10.74,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.14288243651390076,0.0,0.0,-0.24525000154972076,0.0,0.0,0.2687337398529053
10.76,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16933777928352356,0.0,0.0,-0.24525000154972076,0.0,0.0,0.011189468204975128
10.78,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.15941232442855835,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.13321703672409058
10.8,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1703241467475891,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.3852577209472656
10.82,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.09335844218730927,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.5373374223709106
10.84,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.10132571309804916,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.6505205035209656
10.86,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12810078263282776,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.9152496457099915
10.88,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2306918054819107,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.2275670766830444
10.9,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.25614991784095764,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.5260326862335205
10.92,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2258579283952713,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.7371677160263062
10.94,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21912163496017456,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.8410847187042236
10.96,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1866331398487091,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.7247896194458008
10.98,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1705564558506012,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.3714791536331177
11.0,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.14690692722797394,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.8870404362678528
11.02,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.15867730975151062,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.4328947067260742
11.040000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.17271560430526733,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.15392830967903137
11.06,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.20564676821231842,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.014115288853645325
11.08,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2052333950996399,0.0,0.0,-0.24525000154972076,0.0,0.0,0.026197094470262527
11.1,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.20843438804149628,0.0,0.0,-0.24525000154972076,0.0,0.0,0.04353470355272293
11.120000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.20380356907844543,0.0,0.0,-0.24525000154972076,0.0,0.0,0.08362545073032379
11.14,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.19265758991241455,0.0,0.0,-0.24525000154972076,0.0,0.0,0.11570540070533752
11.16,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22331392765045166,0.0,0.0,-0.24525000154972076,0.0,0.0,0.16530939936637878
11.18,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12923918664455414,0.0,0.0,-0.24525000154972076,0.0,0.0,0.2819054424762726
11.200000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2611531615257263,0.0,0.0,-0.24525000154972076,0.0,0.0,0.2572171092033386
11.22,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.24564072489738464,0.0,0.0,-0.24525000154972076,0.0,0.0,0.39816606044769287
11.24,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.27423790097236633,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6102114319801331
11.26,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2565069794654846,0.0,0.0,-0.24525000154972076,0.0,0.0,0.6751725673675537
11.28,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.23577119410037994,0.0,0.0,-0.24525000154972076,0.0,0.0,0.654455304145813
11.3,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2419670969247818,0.0,0.0,-0.24525000154972076,0.0,0.0,0.45777344703674316
11.32,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.24907228350639343,0.0,0.0,-0.24525000154972076,0.0,0.0,0.32317471504211426
11.34,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.231241837143898,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1899767369031906
11.36,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2529718577861786,0.0,0.0,-0.24525000154972076,0.0,0.0,0.0693909078836441
11.38,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.258427232503891,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.02902381867170334
11.4,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2886987328529358,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.057764068245887756
11.42,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.24200989305973053,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.07824952900409698
11.44,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.256318598985672,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.10484889149665833
11.46,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.261746346950531,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1178438812494278
11.48,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2721154987812042,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.11471427977085114
11.5,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2722146213054657,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.09674160182476044
11.52,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2675798237323761,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.038693495094776154
11.540000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.26096460223197937,0.0,0.0,-0.24525000154972076,0.0,0.0,0.06584566831588745
11.56,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2424324005842209,0.0,0.0,-0.24525000154972076,0.0,0.0,0.1913018673658371
11.58,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2199288308620453,0.0,0.0,-0.24525000154972076,0.0,0.0,0.318915456533432
11.6,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21040138602256775,0.0,0.0,-0.24525000154972076,0.0,0.0,0.43619003891944885
11.620000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2088095247745514,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5146318674087524
11.64,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2047804296016693,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5452031493186951
11.66,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2154058963060379,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5427618622779846
11.68,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22315704822540283,0.0,0.0,-0.24525000154972076,0.0,0.0,0.5313079357147217
11.700000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2164383828639984,0.0,0.0,-0.24525000154972076,0.0,0.0,0.4324321448802948
11.72,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12904801964759827,0.0,0.0,-0.24525000154972076,0.0,0.0,0.41026630997657776
11.74,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12929613888263702,0.0,0.0,-0.24525000154972076,0.0,0.0,0.2593877911567688
11.76,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.15830466151237488,0.0,0.0,-0.24525000154972076,0.0,0.0,0.009621448814868927
11.78,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.14766494929790497,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12806755304336548
11.8,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16173838078975677,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.37395167350769043
11.82,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.09290872514247894,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.5302879810333252
11.84,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.10227368772029877,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.6414844989776611
11.86,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.12666451930999756,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.9006036520004272
11.88,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2262972593307495,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.2130398750305176
11.9,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2549819052219391,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.513798713684082
11.92,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.22518201172351837,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.7307381629943848
11.94,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.21818509697914124,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.8435789346694946
11.96,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1906467080116272,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.7335853576660156
11.98,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.17267334461212158,0.0,0.0,-0.24525000154972076,0.0,0.0,-1.3812072277069092
12.0,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.15523667633533478,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.8956079483032227
12.02,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.1658565104007721,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.44232988357543945
12.040000000000001,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.17958416044712067,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.16077661514282227
12.06,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2102278172969818,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.02075764536857605
12.08,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.20845098793506622,0.0,0.0,-0.24525000154972076,0.0,0.0,0.022818829864263535
12.1,0.0,0.0,-0.24525000154972076,0.0,0.0,-0.2085902988910675,0.0,0.0,-0.24525000154972076,0.0,0.0,0.038787078112363815
