time_s,left_target_linear_velocity_x_mps,left_target_linear_velocity_y_mps,left_target_linear_velocity_z_mps,left_actual_linear_velocity_x_mps,left_actual_linear_velocity_y_mps,left_actual_linear_velocity_z_mps,right_target_linear_velocity_x_mps,right_target_linear_velocity_y_mps,right_target_linear_velocity_z_mps,right_actual_linear_velocity_x_mps,right_actual_linear_velocity_y_mps,right_actual_linear_velocity_z_mps
1.08,0.30000001192092896,1.3967443202034246e-08,0.0,0.4667578637599945,-0.1196683794260025,-0.06747305393218994,0.30000001192092896,1.3967443202034246e-08,0.0,0.482293039560318,-0.04447951167821884,-0.013518402352929115
1.1,0.30000001192092896,1.3967443202034246e-08,0.0,0.48986151814460754,-0.06943728774785995,-0.07226008921861649,0.30000001192092896,1.3967443202034246e-08,0.0,0.5205551981925964,-0.13073311746120453,0.0006867032498121262
1.12,0.30000001192092896,1.3967443202034246e-08,0.0,0.5184558033943176,-0.03273145854473114,-0.07628881931304932,0.30000001192092896,1.3967443202034246e-08,0.0,0.5730019807815552,-0.22100181877613068,0.004051573574542999
1.1400000000000001,0.30000001192092896,1.3967443202034246e-08,0.0,0.520168125629425,0.0037749074399471283,-0.10104358941316605,0.30000001192092896,1.3967443202034246e-08,0.0,0.5777483582496643,-0.23507234454154968,-0.008298195898532867
1.16,0.30000001192092896,1.3967443202034246e-08,0.0,0.4738134741783142,0.030618805438280106,-0.06788267195224762,0.30000001192092896,1.3967443202034246e-08,0.0,0.532697319984436,-0.19644401967525482,0.0022974535822868347
1.18,0.30000001192092896,1.3967443202034246e-08,0.0,0.43821990489959717,0.0741645097732544,0.026575136929750443,0.30000001192092896,1.3967443202034246e-08,0.0,0.4962354600429535,-0.18726667761802673,-0.01139552891254425
1.2,0.30000001192092896,1.3967443202034246e-08,0.0,0.4372240900993347,0.10320954769849777,0.11406119912862778,0.30000001192092896,1.3967443202034246e-08,0.0,0.47952836751937866,-0.17833152413368225,-0.03358036279678345
1.22,0.30000001192092896,1.3967443202034246e-08,0.0,0.450012743473053,0.09098545461893082,0.15680326521396637,0.30000001192092896,1.3967443202034246e-08,0.0,0.4776068329811096,-0.1612716168165207,-0.03383480757474899
1.24,0.30000001192092896,1.3967443202034246e-08,0.0,0.45069101452827454,0.0503072515130043,0.14609333872795105,0.30000001192092896,1.3967443202034246e-08,0.0,0.47548195719718933,-0.12868207693099976,-0.017140448093414307
1.26,0.30000001192092896,1.3967443202034246e-08,0.0,0.4280582666397095,-0.005248673725873232,0.0644998848438263,0.30000001192092896,1.3967443202034246e-08,0.0,0.47417008876800537,-0.07135035842657089,0.007840834558010101
