time_s,left_target_angular_velocity_x_radps,left_target_angular_velocity_y_radps,left_target_angular_velocity_z_radps,left_actual_angular_velocity_x_radps,left_actual_angular_velocity_y_radps,left_actual_angular_velocity_z_radps,right_target_angular_velocity_x_radps,right_target_angular_velocity_y_radps,right_target_angular_velocity_z_radps,right_actual_angular_velocity_x_radps,right_actual_angular_velocity_y_radps,right_actual_angular_velocity_z_radps
9.66,0.0,0.0,0.0,-0.23698069155216217,-0.20387956500053406,-0.45870810747146606,0.0,0.0,0.0,-0.3642627000808716,0.34733760356903076,-0.29097235202789307
9.68,0.0,0.0,0.0,-0.04682650789618492,-0.1946028172969818,-0.6986082196235657,0.0,0.0,0.0,-0.2852604389190674,0.44383466243743896,-0.481325626373291
9.700000000000001,0.0,0.0,0.0,0.4620147943496704,-0.1118834912776947,-0.9948288202285767,0.0,0.0,0.0,-0.13997462391853333,0.500983476638794,-0.6832664012908936
9.72,0.0,0.0,0.0,1.0045393705368042,-0.01933564804494381,-1.309342622756958,0.0,0.0,0.0,-0.13194890320301056,0.7047022581100464,-0.7191824316978455
9.74,0.0,0.0,0.0,0.684693455696106,-0.009990046732127666,-1.2881218194961548,0.0,0.0,0.0,-0.016659973189234734,0.7350301742553711,-0.7829853296279907
9.76,0.0,0.0,0.0,0.44082406163215637,0.006434090901166201,-1.1427624225616455,0.0,0.0,0.0,-0.21931813657283783,0.7501335144042969,-0.8813468813896179
9.78,0.0,0.0,0.0,0.3054491877555847,0.03289845213294029,-0.9085059762001038,0.0,0.0,0.0,-0.4532086253166199,0.9362428188323975,-0.6756225228309631
9.8,0.0,0.0,0.0,0.008418404497206211,0.0077680074609816074,-0.7199934720993042,0.0,0.0,0.0,-0.05874235928058624,0.7654632925987244,-0.612714946269989
9.82,0.0,0.0,0.0,0.2959483563899994,-0.02466695010662079,-0.5681360363960266,0.0,0.0,0.0,-0.6208364963531494,0.772276759147644,-0.5566523671150208
9.84,0.0,0.0,0.0,0.2340690940618515,-0.09489456564188004,-0.347348153591156,0.0,0.0,0.0,-1.2970786094665527,0.8963013291358948,-0.336652934551239
9.86,0.0,0.0,0.0,0.04372945427894592,-0.07993663102388382,-0.07452190667390823,0.0,0.0,0.0,-1.3222532272338867,0.8650937676429749,-0.14888399839401245
9.88,0.0,0.0,0.0,-0.3647810220718384,-0.033609893172979355,0.3315661549568176,0.0,0.0,0.0,-0.8890247941017151,0.7843654751777649,0.0023828414268791676
9.9,0.0,0.0,0.0,-0.468299925327301,-0.012948187999427319,0.6894064545631409,0.0,0.0,0.0,-0.39729005098342896,0.6332703232765198,0.20373216271400452
9.92,0.0,0.0,0.0,-0.5140817165374756,-0.11227557808160782,0.9303629994392395,0.0,0.0,0.0,-0.1066969782114029,0.46514835953712463,0.3668921887874603
9.94,0.0,0.0,0.0,-0.23018687963485718,-0.21732939779758453,0.9476385116577148,0.0,0.0,0.0,0.11483895778656006,0.2420453131198883,0.428359717130661
9.96,0.0,0.0,0.0,0.18654312193393707,-0.17465290427207947,0.7710458636283875,0.0,0.0,0.0,0.2466941475868225,0.11201848089694977,0.3907058835029602
9.98,0.0,0.0,0.0,0.13257397711277008,-0.09356486052274704,0.6502276659011841,0.0,0.0,0.0,0.3913255035877228,0.05299322307109833,0.32235684990882874
10.0,0.0,0.0,0.0,0.17331644892692566,0.0003271577297709882,0.6196513175964355,0.0,0.0,0.0,0.4871886968612671,0.00960665475577116,0.23118597269058228
10.02,0.0,0.0,0.0,0.12629836797714233,0.04739043489098549,0.6604853868484497,0.0,0.0,0.0,0.5907195210456848,-0.047162044793367386,0.18472038209438324
10.040000000000001,0.0,0.0,0.0,0.12656433880329132,0.12216372787952423,0.6915169358253479,0.0,0.0,0.0,0.6625648140907288,-0.11742909997701645,0.2162209302186966
10.06,0.0,0.0,0.0,-0.16421350836753845,0.14069752395153046,0.7117292284965515,0.0,0.0,0.0,0.713847279548645,-0.1504342257976532,0.3128889799118042
10.08,0.0,0.0,0.0,-0.3037966787815094,0.16550210118293762,0.6508020758628845,0.0,0.0,0.0,0.9132031202316284,-0.21543128788471222,0.377193421125412
10.1,0.0,0.0,0.0,-0.4746289551258087,0.1286521553993225,0.6044498085975647,0.0,0.0,0.0,1.0175362825393677,-0.2826083302497864,0.40500661730766296
10.120000000000001,0.0,0.0,0.0,-0.2760884761810303,0.06678443402051926,0.5041903853416443,0.0,0.0,0.0,0.9439548850059509,-0.37521788477897644,0.4590592086315155
10.14,0.0,0.0,0.0,-0.018804186955094337,-0.05353393033146858,0.4086814522743225,0.0,0.0,0.0,0.766152024269104,-0.549589216709137,0.5542961359024048
10.16,0.0,0.0,0.0,-0.038328856229782104,-0.24041810631752014,0.4095934331417084,0.0,0.0,0.0,0.18094079196453094,-0.8060189485549927,0.6903980374336243
10.18,0.0,0.0,0.0,-0.06479331105947495,-0.05171936750411987,0.5282520651817322,0.0,0.0,0.0,-0.12016986310482025,-0.9622328281402588,0.7181994915008545
10.200000000000001,0.0,0.0,0.0,-0.28646641969680786,-0.05506928637623787,0.46443992853164673,0.0,0.0,0.0,0.19076667726039886,-1.1051628589630127,0.6527050137519836
10.22,0.0,0.0,0.0,-0.011482584290206432,0.09429724514484406,0.24187113344669342,0.0,0.0,0.0,0.4633183479309082,-0.8230856657028198,0.47007089853286743
10.24,0.0,0.0,0.0,0.0719825029373169,0.17947115004062653,0.038306813687086105,0.0,0.0,0.0,0.8494893312454224,-0.5317762494087219,0.4250738024711609
10.26,0.0,0.0,0.0,-0.15286755561828613,0.24905839562416077,0.04001805558800697,0.0,0.0,0.0,0.9723711609840393,-0.2926156222820282,0.31617164611816406
10.28,0.0,0.0,0.0,0.10675347596406937,0.28871944546699524,0.02002384327352047,0.0,0.0,0.0,0.29803454875946045,-0.25058093667030334,0.13273611664772034
10.3,0.0,0.0,0.0,0.346962571144104,0.28291431069374084,-0.026464423164725304,0.0,0.0,0.0,-0.40916886925697327,-0.38586634397506714,0.08220284432172775
10.32,0.0,0.0,0.0,0.48027926683425903,0.29002493619918823,-0.1940990686416626,0.0,0.0,0.0,-0.9348429441452026,-0.3964957594871521,0.023432662710547447
10.34,0.0,0.0,0.0,-0.037872567772865295,0.19997456669807434,-0.26163250207901,0.0,0.0,0.0,-0.6818597316741943,-0.37955933809280396,-0.10041418671607971
10.36,0.0,0.0,0.0,-0.3148196041584015,0.09244337677955627,-0.23788531124591827,0.0,0.0,0.0,-0.2938593626022339,-0.35889577865600586,-0.19664013385772705
10.38,0.0,0.0,0.0,-0.07048329710960388,0.08460429310798645,-0.20508712530136108,0.0,0.0,0.0,-0.2213248610496521,-0.3063749074935913,-0.2966969311237335
10.4,0.0,0.0,0.0,-0.1396183967590332,0.08039644360542297,-0.12311297655105591,0.0,0.0,0.0,-0.17940759658813477,-0.2375985085964203,-0.39218029379844666
10.42,0.0,0.0,0.0,-0.21296001970767975,0.009835396893322468,-0.09960149228572845,0.0,0.0,0.0,-0.0757550299167633,-0.2704077959060669,-0.4556390345096588
10.44,0.0,0.0,0.0,-0.04233641177415848,0.0049684979021549225,-0.15992271900177002,0.0,0.0,0.0,-0.018894599750638008,-0.2797047197818756,-0.41481971740722656
10.46,0.0,0.0,0.0,0.016090426594018936,-0.016760045662522316,-0.21643923223018646,0.0,0.0,0.0,0.06600891053676605,-0.2581598460674286,-0.34264451265335083
10.48,0.0,0.0,0.0,-0.03121950291097164,-0.06729334592819214,-0.16854585707187653,0.0,0.0,0.0,0.17465882003307343,-0.24938412010669708,-0.2641456425189972
10.5,0.0,0.0,0.0,0.03778444230556488,-0.07555009424686432,-0.13814549148082733,0.0,0.0,0.0,0.12231757491827011,-0.2513805329799652,-0.16145440936088562
10.52,0.0,0.0,0.0,-0.011426452547311783,-0.08832988142967224,-0.07118970900774002,0.0,0.0,0.0,0.11248661577701569,-0.2135002166032791,-0.0570746473968029
10.540000000000001,0.0,0.0,0.0,-0.11091762781143188,-0.10583662986755371,0.004004293587058783,0.0,0.0,0.0,0.12039393931627274,-0.1658598631620407,0.0443212054669857
10.56,0.0,0.0,0.0,-0.09814642369747162,-0.09870445728302002,0.015737099573016167,0.0,0.0,0.0,0.05623188242316246,-0.12208645045757294,0.1257145255804062
10.58,0.0,0.0,0.0,-0.13670046627521515,-0.10858412832021713,-0.001652679406106472,0.0,0.0,0.0,-0.05065101385116577,-0.05384209752082825,0.14307032525539398
10.6,0.0,0.0,0.0,-0.20754247903823853,-0.1342211663722992,-0.04494674503803253,0.0,0.0,0.0,-0.15282467007637024,0.03682457655668259,0.09230292588472366
10.620000000000001,0.0,0.0,0.0,-0.2591968774795532,-0.1633903831243515,-0.13081757724285126,0.0,0.0,0.0,-0.24956275522708893,0.13095812499523163,-0.003426580224186182
10.64,0.0,0.0,0.0,-0.26167529821395874,-0.18593470752239227,-0.27084779739379883,0.0,0.0,0.0,-0.3174767792224884,0.23325753211975098,-0.13488070666790009
10.66,0.0,0.0,0.0,-0.23048783838748932,-0.20721718668937683,-0.4598996639251709,0.0,0.0,0.0,-0.364940345287323,0.34263038635253906,-0.28489670157432556
10.68,0.0,0.0,0.0,-0.03659962862730026,-0.18697716295719147,-0.7031856775283813,0.0,0.0,0.0,-0.2884921729564667,0.4445851445198059,-0.4733755886554718
10.700000000000001,0.0,0.0,0.0,0.4555118978023529,-0.10018257796764374,-1.0028789043426514,0.0,0.0,0.0,-0.133107990026474,0.5064329504966736,-0.678713858127594
10.72,0.0,0.0,0.0,0.9723417162895203,-0.013793733902275562,-1.3136612176895142,0.0,0.0,0.0,-0.11193778365850449,0.7010437846183777,-0.7071011662483215
10.74,0.0,0.0,0.0,0.6733673810958862,-0.004870669916272163,-1.2930082082748413,0.0,0.0,0.0,0.009325080551207066,0.7483124136924744,-0.7730214595794678
10.76,0.0,0.0,0.0,0.43147027492523193,0.02304167114198208,-1.1209956407546997,0.0,0.0,0.0,-0.1714131236076355,0.7410020232200623,-0.8778486251831055
10.78,0.0,0.0,0.0,0.3538960814476013,0.05407806858420372,-0.9107719659805298,0.0,0.0,0.0,-0.40676215291023254,0.9272918701171875,-0.6696751713752747
10.8,0.0,0.0,0.0,0.040405869483947754,0.016254670917987823,-0.720388650894165,0.0,0.0,0.0,-0.02792328968644142,0.7560078501701355,-0.6093352437019348
10.82,0.0,0.0,0.0,0.3452889919281006,-0.025585457682609558,-0.5865834355354309,0.0,0.0,0.0,-0.61190265417099,0.7751556634902954,-0.5621525645256042
10.84,0.0,0.0,0.0,0.25938957929611206,-0.09230400621891022,-0.3817368447780609,0.0,0.0,0.0,-1.2790987491607666,0.9010827541351318,-0.35761529207229614
10.86,0.0,0.0,0.0,0.060186054557561874,-0.0705995038151741,-0.108521968126297,0.0,0.0,0.0,-1.3153493404388428,0.8725816011428833,-0.17402181029319763
