t,left_x,left_y,left_z,left_qw,left_qx,left_qy,left_qz,left_vx,left_vy,left_vz,left_wx,left_wy,left_wz,left_Fx,left_Fy,left_Fz,left_Mx,left_My,left_Mz,right_x,right_y,right_z,right_qw,right_qx,right_qy,right_qz,right_vx,right_vy,right_vz,right_wx,right_wy,right_wz,right_Fx,right_Fy,right_Fz,right_Mx,right_My,right_Mz
0.22,0.134,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.134,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.225,0.135,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.135,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.23,0.136,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.136,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.235,0.137,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.15494400912412e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.137,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.35938313177389e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.24,0.138,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.138,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.245,0.139,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.139,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.25,0.14,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.14,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.255,0.141,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.141,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.26,0.142,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.142,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.265,0.143,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.143,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.27,0.144,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.144,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.275,0.145,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.145,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.28,0.146,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.146,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.285,0.147,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.29372188720227e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.147,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.49816100985204e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.29,0.148,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.57127764335855e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.148,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.77571676600832e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.295,0.149,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.57127764335855e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.149,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.77571676600832e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
0.3,0.15,0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-2.57127764335855e-17,-3.39177085319997e-18,0.24525,1.87869079035973e-32,0.0220725,-7.9160352106384e-18,0.15,-0.22,-0.08,1,0,0,0,0.2,0,0,0,0,0,-6.77571676600832e-17,-3.39177085319997e-18,0.24525,1.87839907910835e-32,0.0220725,-7.91603521063841e-18
