experiment,path,run,size_bytes,step
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_4000.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456757,4000
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_4200.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456757,4200
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k/model_4400.pt,2026-06-09_11-36-13_s0_gait_bodyyaw_16k_5k,10456757,4400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_0.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456063,0
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_200.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456675,200
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_400.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456675,400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_600.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456675,600
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_800.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456675,800
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_1000.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,1000
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_1200.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,1200
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_1400.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,1400
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_1600.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,1600
coopG1S0,/home/zhaowenhao/isaaclab_nhb/isaaclab_nhb/logs/rsl_rl/coopG1S0/2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k/model_1800.pt,2026-06-09_20-22-44_s0_gait_pelvis_feetorient_16k_5k,10456757,1800
